delta,aoi,aoi_ci,aoi_cf,paoi,paoi_ci,paoi_cf,passed
0.02,0.48721054412512643,3.05966842493133e-05,0.48519999999999996,0.9870100715269062,3.1292142984718735e-05,0.985,True
0.05,0.45824685360113504,2.693793306118609e-05,0.45625,0.9569975439410504,2.8138476284065702e-05,0.955,True
0.075,0.4348135198357405,2.655059400816846e-05,0.43281250000000004,0.9320010411719328,2.902494335842732e-05,0.93,True
0.1,0.4119961987610867,1.6638518202369598e-05,0.41000000000000003,0.9069955973162998,1.893193054617168e-05,0.905,True
0.2,0.3269977862109709,1.944432796664332e-05,0.32500000000000007,0.8069971556041535,2.4082530275375084e-05,0.805,True
0.35,0.21826373712641028,1.6032026469115834e-05,0.21625000000000003,0.657020357263457,2.364619973598577e-05,0.655,True
0.5,0.13199933546467407,1.2466013684464939e-05,0.13,0.5069971053296146,2.473059005205108e-05,0.505,True
