cv,mean_aoi,mean_paoi,inverted,predicted,passed
0.0,0.41,0.9049999999999999,0,0,True
0.3,0.44625348238863416,0.9046423617422175,0,0,True
0.5,0.5108772600771613,0.9044223082534586,0,0,True
1.0,0.8149996897795648,0.9043348492407165,0,0,True
1.5,1.3224004704089134,0.9039569330472569,1,1,True
2.0,2.030147837685105,0.9033825094312596,1,1,True
