eta,k_star,ea_mean,ea_ci,rucop_mean,rucop_ci,kstar_mean,kstar_ci
0.5,1,3.143084715979744,0.010424913885102298,6.467524734826763,0.028829958871275513,3.143084715979744,0.010424913885102298
1.0,1,1.7017608491537204,0.0027004227815384967,3.347480048565701,0.007075899325395777,1.7017608491537204,0.0027004227815384967
1.5,1,1.6393811434955818,0.0029269645510426267,2.3005651847828736,0.005700816021256811,1.6393811434955818,0.0029269645510426267
2.0,2,1.6403571208768923,0.002656836157285266,1.7853815633876944,0.003622345869589702,1.3747318007029412,0.002884526558605668
2.5,2,1.6422485549785777,0.003811903086772017,1.4810605662254943,0.0026345792117525766,1.3225900670066333,0.0015224926953311907
3.0,3,1.6413110922358456,0.004042409176792777,1.3214094645423224,0.0016292860084758823,1.3214094645423224,0.0016292860084758823
4.0,3,1.6409152583469755,0.0038089953562387433,1.2673412801869737,0.0010375322771120912,1.2673412801869737,0.0010375322771120912
