delta,gain,half_absdiff,mean_Rmin,Rmin_cf,ratio,ratio_cf,passed
0.02,0.16653888313248902,0.1664691590389277,0.31390145892698823,0.31373066666666666,0.653362323347421,0.6533333333333333,True
0.05,0.1655212368019564,0.16548503816997634,0.2859679306744805,0.2857916666666666,0.6333883269504517,0.6333333333333333,True
0.1,0.16196937709673223,0.16195792252964994,0.24315471860121926,0.24300000000000002,0.6001979804547108,0.6,True
0.2,0.14923629512051875,0.1493192480610059,0.17075576942760143,0.17066666666666672,0.5336253055696409,0.5333333333333333,True
0.35,0.11967907953492891,0.11974746493625799,0.09145456054380359,0.09154166666666667,0.433159970801058,0.43333333333333335,True
0.5,0.08329338640712196,0.08339024497619268,0.04162914312348479,0.041666666666666664,0.33323957490210027,0.3333333333333333,True
