segment,mean_R,mean_R_cf,atom,atom_cf,passed
LEO det,0.40522767199161636,0.405,0.09969875,0.10000000000000002,True
UAV jitter cv=0.3,0.4415086095529761,0.44156470482749716,0.10011375,0.09997982094929513,True
CTMC exp cv=1,0.8101546748305838,0.8095326405333524,0.09992875000000001,0.09996988071062146,True
terr pareto cv=1.5,0.9984019352103712,0.9980867673411461,0.10030625,0.1001321983819582,True
