q,phase_set,k2_mean,k2_ci,ea1_mean,ea1_ci
1.0,locked,1.3715281299755686,0.000904035511483513,1.3715298733447205,0.0008068618072657781
1.0,independent,1.2147659908674517,0.0007915396850151321,1.2145250764456201,0.000489518628954025
1.0,anti,1.1323538866796814,0.00026990444404829397,1.132343285413089,0.00031558671412709787
0.6666666666666666,locked,1.4973876256660783,0.0010342333280105574,1.8723799382363757,0.0023581968886259214
0.6666666666666666,independent,1.4182412769526813,0.0011772282630227067,1.7155685876522888,0.0020155291828823554
0.6666666666666666,anti,1.3776444400466181,0.0009753738272864342,1.6333405366434337,0.0023567383546471343
