eta,p_e,p_e_cf,p_zero,p_zero_cf,passed
0.3,0.29970176767676765,0.3,0.7002982323232323,0.7,True
0.5,0.4998616161616162,0.5,0.5001383838383838,0.5,True
0.7,0.7001636363636363,0.7,0.2998363636363636,0.30000000000000004,True
0.9,0.9005568181818182,0.9,0.09944318181818182,0.09999999999999998,True
