eta,q,k,paoi_sim,paoi_pred,err_pct
3.0,0.4,1,2.9047991313574775,2.9099999999999997,0.17872400833409718
3.0,0.4,2,1.9319156312312178,1.9319999999999997,0.004366913498029418
3.0,0.4,3,1.6164852050068046,1.606328571428571,0.6322886711278997
3.0,0.4,4,1.8263354750799177,1.8265759215686272,0.013163782894011182
3.0,0.7,1,1.8378544269220332,1.8385714285714285,0.038997758708372646
3.0,0.7,2,1.4224222096089627,1.42167032967033,0.05288708098783678
3.0,0.7,3,1.2869122841085399,1.2793767471736897,0.5890006170189658
3.0,0.7,4,1.54165880649253,1.5415633159928757,0.006194393617423504
3.0,1.0,1,1.4101947756839988,1.41,0.013813878297789926
3.0,1.0,2,1.248056638423715,1.248,0.004538335233578588
3.0,1.0,3,1.177191375597284,1.169025,0.69856295607742
3.0,1.0,4,1.4574276013478547,1.4564313333333332,0.06840473640740097
6.0,0.4,1,2.9087553572731624,2.9099999999999997,0.04277122772636875
6.0,0.4,2,1.9328100156706878,1.9319999999999997,0.04192627695072764
6.0,0.4,3,1.6054172001491558,1.606328571428571,0.05673629266301352
6.0,0.4,4,1.4436794846852723,1.4436102352941176,0.0047969590033146645
6.0,0.7,1,1.838530513051694,1.8385714285714285,0.002225397343757229
6.0,0.7,2,1.4221472506909416,1.42167032967033,0.03354652697311977
6.0,0.7,3,1.2791886841177462,1.2793767471736897,0.014699583712060463
6.0,0.7,4,1.2057466183965777,1.205507934065934,0.019799482350865517
6.0,1.0,1,1.4098080844009098,1.41,0.013611035396464776
6.0,1.0,2,1.2480595908036847,1.248,0.00477490414140005
6.0,1.0,3,1.1690890096421447,1.169025,0.00547547247874958
6.0,1.0,4,1.1230138136723202,1.123098,0.007495902199069254
