eta,B,k_star,p_e,p_e_fluid,overflow_L
4.0,64,4,0.9900632911392405,1.0,0.02579746835443038
4.0,6,3,0.8289113924050633,1.0,0.6708987341772152
4.0,5,3,0.7641898734177215,1.0,0.9297594936708861
4.0,4,2,0.675367088607595,1.0,1.2850759493670887
6.0,64,6,0.9899240506329114,1.0,0.041936708860759495
6.0,8,4,0.8132025316455697,1.0,1.1018860759493672
6.0,7,4,0.7540253164556961,1.0,1.4569493670886076
6.0,6,4,0.6800632911392405,1.0,1.9007215189873419
