crossover,eta,k_analytic,k_sim,paoi_k3,paoi_k4,paoi_k5
3.8244,3.1,3,3,1.1694209340955541,1.412199957304693,1.7056087599087546
3.8244,3.2,3,3,1.1690009965814248,1.3718882248686122,1.6550356235886157
3.8244,3.3,3,3,1.1689432532361506,1.334215308092104,1.6074225328304839
3.8244,3.4,3,3,1.169013278473021,1.2984473828844434,1.5634377175412644
3.8244,3.5,3,3,1.168982664618444,1.2652554384642891,1.5215502026197147
3.8244,3.6,3,3,1.1689858953086576,1.2334732843680247,1.4817804320721006
3.8244,3.7,3,3,1.1688711982877042,1.2034197230196368,1.4439801572047852
3.8244,3.8,3,3,1.1688251747541065,1.17526665870966,1.408675573694728
3.8244,3.9,4,4,1.1688075098331812,1.1495346347958588,1.3745201088029382
