delta,mean_R,mean_R_ci,mean_R_cf,meanSq_R,meanSq_R_cf,ks,atom,passed
0.02,0.4803119964378764,0.00027955890807187237,0.48019999999999996,0.313879663083565,0.31373066666666666,0.001857898462530162,0.019938749999999998,True
0.05,0.45126216297003835,0.0002974963272532543,0.45125,0.2858438899347876,0.2857916666666666,0.0019213937910823417,0.050041749999999996,True
0.075,0.42767137631933194,0.00031985695968128527,0.42781250000000004,0.2637266496326274,0.26381770833333335,0.001951839138926706,0.07520575,True
0.1,0.40490069540424833,0.000322102820553453,0.405,0.2429469671823059,0.24300000000000002,0.001971612313369972,0.10015974999999999,True
0.2,0.31994284926737454,0.0003308914844845675,0.32000000000000006,0.1706553091594487,0.17066666666666672,0.0020479376128807415,0.20011825,True
0.35,0.2111717230016065,0.00022895795166251307,0.21125000000000002,0.09151692128641138,0.09154166666666667,0.0017971460468218237,0.35015125,True
0.5,0.12496280365986664,0.0001624014829389375,0.125,0.041657550101572814,0.041666666666666664,0.001536224403720854,0.5000560000000001,True
