case,P2,ks_uniform,corr_abs,passed
incommensurate,0.6180339887498949,0.0010407591051087312,0.0020053724627900377,True
equal(P2=P1),1.0,0.8905614240115804,0.14504606177103996,True
rational(2:1),0.5,0.8801007292192234,0.14504288142304306,True
